,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
70,11-OCT-2023,19767.0,19839.2,19756.95,19811.35,213729730.0,19900.99
71,12-OCT-2023,19822.7,19843.3,19772.65,19794.0,217904144.0,20999.94
72,13-OCT-2023,19654.55,19805.4,19635.3,19751.05,254955979.0,24363.02
73,16-OCT-2023,19737.25,19781.3,19691.85,19731.75,180964341.0,14746.01
74,17-OCT-2023,19843.2,19849.75,19775.65,19811.5,185846716.0,16839.87
75,18-OCT-2023,19820.45,19840.95,19659.95,19671.1,198942937.0,18581.64
76,19-OCT-2023,19545.2,19681.8,19512.35,19624.7,230312163.0,23582.01
77,20-OCT-2023,19542.15,19593.8,19518.7,19542.65,198341255.0,17944.31
78,23-OCT-2023,19521.6,19556.85,19257.85,19281.75,176044288.0,16212.9
79,25-OCT-2023,19286.45,19347.3,19074.15,19122.15,225291741.0,19818.32
80,26-OCT-2023,19027.25,19041.7,18837.85,18857.25,300356469.0,28939.64
